ObservatoryIdentifier,ObservatoryName,LocationAddress,EnglishAddress,BasinIdentifier,CountyIdentifier,TownIdentifier,LocationXByTWD97,LocationXByTWD97,Elevation,DisuseStatus,Remarks,AgencyNameOfSite,Village,AffiliatedSubsidiaryBasin,AffiliatedSubSubsidiaryBasin,EquipementStatus,TransmissionEquipment
"01O190","東原","臺南市東山區東原村23鄰8號(東原國小)","No8, Ln23, Dongyuan, Dongshan Dist., Tainan City 733, Taiwan (R.O.C.)","1590","6","6700600","193304.46","2573777.26","80.00","現存","","東原國小","東原村","159010","159011","自記式","是"
"01O200","北寮","臺南市東山區高原村北寮路78號","No78, Beiliao Rd, Gaoyuan, Dongshan Dist., Tainan City 733, Taiwan (R.O.C.)","1590","6","6700600","198481.23","2576529.51","360.00","現存","","私有","高原村","159010","159011","自記式","是"
"01O710","虎頭埤","臺南市新化區東榮里中興路42巷36號(虎頭埤水庫)","No.36, Ln. 42, Jhongsing Rd.,Dongrong Vil., Sinhua Dist., Tainan City","1650","6","6701800","182062.67","2547281.96","34.00","現存","","虎頭埤風景區","東榮里","165050","","自記式","是"
"01O750","王爺宮","臺南市六甲區王爺里王爺宮9鄰24號(六甲國小 湖東分校)","No.24, Wangye Temple, Liujia Dist., Tainan City","1630","6","6700900","188636.33","2569015.81","130.00","現存","","湖東國小","王爺村","163060","","自記式","是"
"01O760","關山","臺南市南化區關山里96號(瑞峰國小)","No.96, Kangshan, Nanhua Dist., Tainan City","1630","6","6702500","208550.14","2563537.23","240.00","現存","","瑞峰國小","關山村","163010","","自記式","是"
"01O770","環湖","臺南市大內區環湖里57號","No.57, Huanhu, Danei Dist., Tainan City","1630","6","6701100","190413.45","2560826.54","60.00","廢站","","大內國小鳴頭分校","環湖村","163010","","自記式","是"
"01P190","木柵","高雄市內門區木柵里木柵3號(木柵國小)","No.3, Muzha, Neimen Dist., Kaohsiung City","1660","14","6403500","195348.84","2541688.92","78.00","現存","","木柵國小","木柵村","","","自記式","是"
"01P260","多納","高雄市茂林區多納巷1之2號","No.1-2, Duona Ln., Maolin Dist., Kaohsiung City 851, Taiwan (R.O.C.)","1730","14","6403600","220912.32","2534387.76","458.00","廢站","","多納國小","多納村","173010","173011","自記式","是"
"01P280","古亭坑","高雄市田寮區古亭里廟後巷2號(古亭社區活動中心)","No.2, Miaohou Ln., Guting Rd., Tianliao Dist., Kaohsiung City","1660","14","6402200","188906.43","2532534.84","80.00","現存","","古亭社區活動中心","古亭村","","","自記式","是"
"01P390","金山","高雄市燕巢區金山里番田路29號(金山國小)","No.29, Fantian Rd., Jinshan Vil., Yanchao Dist., Kaohsiung City","1670","14","6402100","188215.21","2523577.70","90.00","現存","","金山國小","金山村","","","","是"
